Iteration F-Min F-Moy F-Max
0 1.0 3.71875 3.0
1 6.0 6.25 6.0
2 7.0 9.96875 10.0
3 11.0 13.71875 13.0
4 15.0 17.46875 17.0
5 20.0 20.0 20.0
6 21.0 23.718750000000004 23.0
7 25.0 27.46875 27.0
8 28.0 31.21875 31.0
9 32.0 34.96875 35.0
10 37.0 37.5 37.0
11 40.0 40.0 40.0
12 42.0 42.5 42.0
13 45.0 45.0 45.0
14 46.0 48.71875 48.0
15 50.0 52.46875 52.0
16 55.0 55.0 55.0
17 56.0 56.265625 57.0
18 56.0 61.1875 61.0
19 62.0 64.96875 65.0
20 66.0 68.71875 68.0
21 68.0 71.21875 71.0
22 71.0 71.25 71.0
23 71.0 73.71875 73.0
24 75.0 77.46875 77.0
25 77.0 79.96875 80.0
26 80.0 80.0 80.0
27 80.0 82.46874999999999 82.0
28 82.0 82.5 82.0
29 82.0 82.5 82.0
30 82.0 82.5 82.0
31 83.0 83.765625 85.0
32 82.0 86.20312500000001 86.0
33 86.0 86.25 86.0
34 86.0 86.25 86.0
35 86.0 88.71874999999999 88.0
36 88.0 88.75 88.0
37 88.0 88.75 88.0
38 88.0 88.75 88.0
39 87.0 89.96874999999999 90.0
