Generation F-Min F-Moy F-Max
0 0.0 0.0 0.0
1 1.0 2.316666666666667 2.0
2 3.0 4.65 4.0
3 6.0 6.658333333333334 6.0
4 7.0 8.983333333333333 9.0
5 10.0 10.991666666666667 11.0
6 12.0 12.666666666666666 12.0
7 13.0 14.983333333333333 15.0
8 16.0 16.991666666666667 17.0
9 18.0 18.991666666666667 19.0
10 20.0 20.991666666666667 21.0
11 22.0 22.991666666666664 23.0
12 24.0 24.991666666666664 25.0
13 26.0 26.666666666666668 26.0
14 27.0 29.633333333333333 29.0
15 31.0 31.333333333333332 31.0
16 32.0 33.31666666666667 33.0
17 33.0 34.983333333333334 35.0
18 36.0 36.99166666666667 37.0
19 37.0 38.65 38.0
20 40.0 40.65833333333333 40.0
21 41.0 42.31666666666667 42.0
22 43.0 44.64999999999999 44.0
23 45.0 46.64999999999999 46.0
24 47.0 48.325 48.0
25 49.0 49.65833333333333 49.0
26 50.0 50.666666666666664 50.0
27 51.0 52.31666666666666 52.0
28 53.0 54.975 55.0
29 55.0 56.325 56.0
30 57.0 57.670833333333334 58.0
31 58.0 59.31666666666667 59.0
32 60.0 60.99166666666667 61.0
33 61.0 61.65833333333333 61.0
34 62.0 62.0 62.0
35 62.0 63.325 63.0
36 63.0 64.325 64.0
37 65.0 66.31666666666666 66.0
38 66.0 66.99166666666666 67.0
39 67.0 67.99166666666666 68.0
40 69.0 69.65833333333333 69.0
41 70.0 70.99166666666666 71.0
42 71.0 71.65833333333333 71.0
43 72.0 72.3375 72.0
44 72.0 73.31666666666666 73.0
45 73.0 73.99166666666666 74.0
46 73.0 75.30833333333334 75.0
47 75.0 75.99166666666666 76.0
48 75.0 76.98333333333333 77.0
49 77.0 77.0 77.0
50 77.0 77.67083333333333 78.0
