Generation M1F M2F M3F M5F
0 0 0 0 0 
1 0 0 0 1 
2 1 0 0 1 
3 2 0 0 1 
4 2 1 0 1 
5 3 1 0 1 
6 4 1 0 1 
7 4 2 0 1 
8 4 2 1 1 
9 4 2 2 1 
10 5 2 2 1 
11 5 2 3 1 
12 5 3 3 1 
13 5 3 3 2 
14 5 4 3 2 
15 6 4 3 2 
16 6 4 4 2 
17 6 4 4 3 
18 6 4 5 3 
19 6 4 5 4 
20 7 4 5 4 
21 7 5 5 4 
22 7 5 5 5 
23 7 6 5 5 
24 7 6 5 6 
25 8 6 5 6 
26 9 6 5 6 
27 9 6 6 6 
28 9 6 6 7 
29 9 6 6 8 
30 9 6 6 9 
31 9 6 6 10 
32 10 6 6 10 
33 10 6 6 11 
34 10 6 6 12 
35 11 6 6 12 
36 11 6 6 13 
37 11 7 6 13 
38 12 7 6 13 
39 12 7 6 14 
40 12 7 7 14 
41 12 7 7 15 
42 12 7 7 16 
43 12 8 7 16 
44 12 8 8 16 
45 12 8 8 17 
46 12 9 8 17 
47 12 9 8 18 
48 12 9 8 19 
49 12 9 8 20 
50 12 9 8 21 
51 12 9 8 22 
52 12 9 8 23 
53 13 9 8 23 
54 13 10 8 23 
55 13 10 8 24 
56 13 10 8 25 
57 14 10 8 25 
58 14 10 8 26 
59 14 11 8 26 
60 14 11 8 27 
61 14 11 8 28 
62 14 11 8 29 
63 15 11 8 29 
64 15 11 8 30 
65 15 12 8 30 
66 15 12 8 31 
67 15 12 8 32 
68 15 13 8 32 
69 16 13 8 32 
70 16 13 8 33 
71 16 14 8 33 
72 16 14 8 34 
73 16 15 8 34 
74 16 15 8 35 
75 16 15 8 36 
76 16 15 8 37 
77 16 15 8 38 
78 16 15 8 39 
79 16 15 8 40 
80 16 15 8 41 
81 16 15 9 41 
82 16 15 9 42 
83 16 16 9 42 
84 17 16 9 42 
85 17 16 9 43 
86 17 16 9 44 
87 17 16 9 45 
88 17 16 9 46 
89 17 16 9 47 
90 17 16 9 48 
91 17 16 9 49 
92 17 16 9 50 
93 17 16 9 51 
94 17 16 9 52 
95 17 16 9 53 
96 17 16 9 54 
97 17 16 9 55 
98 17 16 9 56 
99 17 16 9 57 
100 17 16 9 58 
101 17 16 9 59 
102 17 16 10 59 
103 17 16 11 59 
104 17 16 11 60 
105 17 16 11 61 
106 17 16 12 61 
107 17 16 12 62 
108 17 17 12 62 
109 17 17 12 63 
110 17 17 12 64 
111 18 17 12 64 
112 18 17 13 64 
113 18 17 13 65 
114 18 17 14 65 
115 19 17 14 65 
116 19 17 14 66 
117 19 17 14 67 
118 19 17 14 68 
119 19 17 14 69 
120 19 17 14 70 
121 19 17 14 71 
122 19 17 14 72 
123 19 17 15 72 
124 19 17 15 73 
125 19 17 15 74 
126 19 17 15 75 
127 19 17 15 76 
128 19 17 15 77 
129 19 17 15 78 
130 19 17 15 79 
131 19 17 16 79 
132 19 17 16 80 
133 19 17 17 80 
134 19 18 17 80 
135 20 18 17 80 
136 20 19 17 80 
137 21 19 17 80 
138 21 20 17 80 
139 21 20 18 80 
140 21 20 18 81 
141 21 20 18 82 
142 21 20 18 83 
143 21 20 19 83 
144 21 20 19 84 
145 21 20 19 85 
146 22 20 19 85 
147 22 20 19 86 
148 23 20 19 86 
149 23 20 19 87 
150 23 21 19 87 
151 23 21 20 87 
152 23 21 20 88 
153 23 21 20 89 
154 23 21 20 90 
155 23 21 21 90 
156 23 21 21 91 
157 23 21 21 92 
158 23 21 21 93 
159 23 22 21 93 
160 23 22 21 94 
161 23 22 21 95 
162 23 22 21 96 
163 24 22 21 96 
164 24 22 21 97 
165 24 22 21 98 
166 24 23 21 98 
167 24 23 21 99 
168 24 23 21 100 
169 24 23 21 101 
170 25 23 21 101 
171 25 23 21 102 
172 25 23 21 103 
173 26 23 21 103 
174 26 23 22 103 
175 26 23 22 104 
176 27 23 22 104 
177 28 23 22 104 
178 28 23 22 105 
179 28 23 22 106 
180 28 23 22 107 
181 28 23 22 108 
182 28 23 22 109 
183 28 23 22 110 
184 28 23 22 111 
185 28 24 22 111 
186 28 24 22 112 
187 28 24 22 113 
188 28 24 22 114 
189 28 24 22 115 
190 28 24 23 115 
191 28 24 23 116 
192 28 24 23 117 
193 28 24 23 118 
194 28 24 23 119 
195 28 24 23 120 
196 28 24 23 121 
197 29 24 23 121 
198 29 24 23 122 
199 29 25 23 122 
200 29 25 23 123 
201 29 25 23 124 
202 30 25 23 124 
203 30 25 23 125 
204 31 25 23 125 
205 31 25 23 126 
206 31 25 23 127 
207 31 25 23 128 
208 31 25 24 128 
209 31 25 24 129 
210 31 25 24 130 
211 31 25 24 131 
212 31 25 24 132 
213 31 25 24 133 
214 31 25 24 134 
215 31 25 24 135 
216 32 25 24 135 
217 32 25 24 136 
218 32 25 24 137 
219 32 26 24 137 
220 32 26 25 137 
221 32 26 26 137 
222 32 26 26 138 
223 32 26 26 139 
224 33 26 26 139 
225 33 26 26 140 
226 33 26 26 141 
227 33 26 26 142 
228 33 26 26 143 
229 33 26 26 144 
230 33 26 26 145 
231 33 26 26 146 
232 33 26 26 147 
233 33 27 26 147 
234 33 27 26 148 
235 33 27 26 149 
236 33 27 26 150 
237 33 27 26 151 
238 33 27 26 152 
239 33 27 26 153 
240 33 27 27 153 
241 33 27 27 154 
242 33 27 27 155 
243 33 27 27 156 
244 33 27 27 157 
245 33 27 27 158 
246 33 27 27 159 
247 33 27 27 160 
248 33 28 27 160 
249 33 28 27 161 
250 
