Generation F-Min F-Moy F-Max
0 0.0 0.0 0.0
1 0.0 0.50175 2.0
2 0.0 0.8651249999999999 3.625
3 0.0 1.350375 5.0
4 0.0 1.858125 6.3125
5 0.0 2.361375 8.0625
6 0.0 2.886375 8.9375
7 0.0 3.398625 9.5
8 0.0 3.839625 12.0625
9 0.0 4.346375 13.25
10 0.0 4.8271250000000006 13.125
11 0.0 5.350250000000001 13.9375
12 0.0 5.86925 14.8125
13 0.0 6.354374999999999 16.3125
14 0.0 6.832125 16.8125
15 0.0 7.356249999999999 18.0
16 0.0 7.863625 18.125
17 0.0 8.341375000000001 19.875
18 0.0 8.762374999999999 21.25
19 0.0 9.255500000000001 20.1875
20 0.25 9.7465 21.4375
21 0.25 10.197375000000001 21.8125
22 0.25 10.718625 22.5
23 0.5 11.208874999999999 22.9375
24 1.5 11.676625 23.4375
25 1.875 12.182625000000002 24.9375
26 1.875 12.672374999999999 25.6875
27 1.875 13.129625 27.1875
28 1.875 13.619375000000002 28.25
29 2.875 14.138874999999999 28.5625
30 2.875 14.596499999999999 29.0625
31 2.875 15.043500000000002 30.25
32 3.375 15.556999999999999 30.875
33 3.625 15.99625 30.9375
34 4.125 16.532249999999998 32.5625
35 4.125 17.0 32.3125
36 4.375 17.471625 33.5625
37 4.375 17.967125 33.625
38 4.375 18.44625 34.625
39 5.875 18.938000000000002 34.6875
40 6.25 19.435499999999998 37.1875
41 6.375 19.950125 36.9375
42 6.375 20.425875 37.9375
43 6.875 20.894375 38.6875
44 7.0 21.365875 40.0625
45 7.0 21.80775 39.875
46 7.0 22.293 40.875
47 7.0 22.80225 42.9375
48 7.125 23.25075 42.8125
49 7.125 23.70175 43.9375
50 7.125 24.2065 44.1875
51 7.125 24.73275 47.6875
52 8.5 25.249 45.9375
53 8.5 25.708750000000002 48.9375
54 8.5 26.163875 47.75
55 8.5 26.631375 51.25
56 8.5 27.072875 50.5
57 9.75 27.538875 52.375
58 9.75 28.006625 51.4375
59 9.875 28.466 54.625
60 10.0625 28.95075 51.75
61 10.3125 29.45875 55.0625
62 10.9375 29.8825 53.75
63 11.0 30.3545 55.5
64 11.0 30.842 56.25
65 12.5 31.33425 55.75
66 12.625 31.813000000000002 57.25
67 12.75 32.24675 56.4375
68 12.75 32.72825 59.0625
69 12.875 33.2065 56.75
70 14.5 33.68875 59.3125
71 15.75 34.12825 58.125
72 16.25 34.570499999999996 59.4375
73 16.75 35.033500000000004 59.625
74 16.75 35.4905 59.6875
75 17.0 35.919 62.125
76 17.125 36.38475 61.0
77 17.125 36.82825 64.75
78 18.125 37.282250000000005 62.6875
79 18.375 37.71775 64.875
80 18.5 38.156 62.0625
81 19.5 38.636624999999995 65.8125
82 19.75 39.088375 65.6875
83 20.75 39.517875000000004 66.6875
84 20.75 39.957625 66.4375
85 21.0 40.412 67.5625
86 21.0 40.8585 69.6875
87 21.0 41.349500000000006 66.9375
88 21.5 41.816 69.9375
89 21.625 42.274125 68.5625
90 21.625 42.7075 70.875
91 21.75 43.191625 69.25
92 23.375 43.631875 71.625
93 24.375 44.068375 70.4375
94 24.75 44.536625 73.5
95 24.75 45.018625 73.8125
96 24.75 45.5055 75.0625
97 24.875 45.9895 74.3125
98 24.875 46.450874999999996 76.0
99 25.125 46.925375 75.0625
100 26.25 47.365624999999994 78.0
101 26.5 47.769 78.125
102 26.5 48.212 78.25
103 26.75 48.654250000000005 78.9375
104 26.75 49.129000000000005 80.75
105 27.875 49.602375 79.875
106 27.875 50.047124999999994 81.5625
107 28.125 50.503 81.375
108 29.25 50.968 83.1875
109 29.25 51.424 82.875
110 29.75 51.886250000000004 84.3125
111 30.125 52.34425 83.125
112 30.125 52.820750000000004 84.8125
113 31.625 53.284499999999994 83.625
114 31.75 53.704 85.8125
115 31.75 54.15775 84.5625
116 31.75 54.560249999999996 86.8125
117 31.75 54.978875 86.9375
118 32.875 55.425625 89.0625
119 32.875 55.871375 87.6875
120 32.875 56.306375 89.5625
121 33.375 56.776625 90.4375
122 34.625 57.217375000000004 89.8125
123 34.625 57.652125 90.4375
124 34.75 58.090875 90.1875
125 34.75 58.528625000000005 91.375
126 36.25 58.978875 91.5
127 36.375 59.415375 93.0
128 36.875 59.87350000000001 93.0
129 36.875 60.28825 93.625
130 37.625 60.73775 93.5
131 38.875 61.165 94.3125
132 38.875 61.59625 95.5
133 39.125 62.028125 96.0
134 40.625 62.474875 96.0
135 40.625 62.938625 96.9375
136 40.625 63.375375 97.5
137 40.625 63.812625000000004 97.875
138 41.25 64.271125 99.8125
139 41.25 64.68337500000001 98.8125
140 41.5 65.135375 100.3125
141 41.875 65.55837500000001 99.4375
142 42.0 65.969375 101.625
143 42.0 66.420625 100.5
144 42.0 66.83712499999999 101.8125
145 42.0 67.309625 101.5
146 43.0 67.722875 102.4375
147 43.25 68.166625 101.25
148 44.5 68.594 105.0
149 44.5 68.993 102.9375
150 45.375 69.44425000000001 105.0
151 45.625 69.86875 103.9375
152 45.625 70.32525 106.3125
153 45.625 70.757 104.375
154 45.75 71.18225 106.8125
155 46.0 71.6155 105.0
156 46.0 72.0595 108.1875
157 47.0 72.48675 108.125
158 47.25 72.908625 109.9375
159 47.25 73.32425 108.1875
160 47.25 73.76075 110.125
161 47.5 74.18700000000001 108.3125
162 48.5 74.607 110.3125
163 49.5 75.03225 108.875
164 50.375 75.48325 110.8125
165 51.125 75.92025000000001 111.5
166 51.125 76.35 111.3125
167 51.25 76.73849999999999 112.5625
168 51.625 77.1895 111.25
169 51.625 77.608625 112.625
170 51.625 78.041875 112.0625
171 52.625 78.463375 113.375
172 52.75 78.914875 115.1875
173 52.75 79.339125 114.375
174 52.75 79.75562500000001 116.4375
175 53.125 80.18237500000001 116.625
176 53.25 80.575625 117.125
177 53.375 81.008375 118.3125
178 53.4375 81.41737499999999 118.8125
179 53.9375 81.847625 118.75
180 54.1875 82.286125 119.625
181 54.3125 82.682 118.625
182 55.3125 83.0795 120.0625
183 55.4375 83.493 120.0
184 55.5 83.899 122.25
185 57.0 84.3215 122.5625
186 57.0 84.7285 122.9375
187 58.5625 85.1565 122.3125
188 58.5625 85.55725 123.0
189 58.875 86.0135 123.9375
190 59.0 86.44075000000001 123.875
191 59.3125 86.85125 124.4375
192 59.3125 87.277 124.5
193 59.3125 87.72675 122.4375
194 60.3125 88.1405 124.5625
195 60.4375 88.520625 122.1875
196 60.4375 88.948375 125.75
197 60.8125 89.400375 124.1875
198 61.8125 89.832375 127.125
199 61.3125 90.236625 124.75
200 61.6875 90.615125 127.6875
201 61.8125 91.035875 126.9375
202 61.9375 91.413875 128.1875
203 61.9375 91.80737500000001 128.4375
204 61.9375 92.18187499999999 128.9375
205 61.9375 92.585875 129.0625
206 61.9375 92.96437499999999 129.875
207 61.9375 93.40700000000001 131.0
208 61.9375 93.83175 130.4375
209 62.6875 94.23825 131.625
210 62.6875 94.686 130.6875
211 62.6875 95.07675 132.625
212 62.6875 95.49525 132.3125
213 63.1875 95.90799999999999 132.375
214 63.3125 96.320875 133.375
215 63.4375 96.73512500000001 132.75
216 63.6875 97.147125 135.0625
217 63.6875 97.56937500000001 133.0625
218 63.8125 97.95725000000002 135.8125
219 63.8125 98.33224999999999 136.0
220 63.9375 98.71824999999998 135.9375
221 63.9375 99.115 136.125
222 64.0625 99.50775 136.9375
223 64.0625 99.90174999999999 136.9375
224 64.5625 100.287 137.125
225 64.6875 100.71375 137.1875
226 65.6875 101.12125 137.375
227 66.8125 101.50274999999999 138.0
228 66.8125 101.88875 138.875
229 67.0625 102.28675000000001 139.625
230 67.6875 102.655 140.25
231 69.1875 103.062 139.75
232 69.3125 103.45474999999999 140.4375
233 69.3125 103.81975 141.6875
234 69.3125 104.23375 141.75
235 69.4375 104.62424999999999 142.8125
236 69.4375 104.986125 144.125
237 70.0625 105.368875 143.875
238 70.0625 105.77812499999999 143.6875
239 71.1875 106.182875 144.5625
240 71.1875 106.60137499999999 144.9375
241 71.1875 106.99137499999999 144.5625
242 72.4375 107.388125 145.75
243 73.5625 107.772625 146.25
244 74.0 108.166125 145.75
245 74.25 108.554125 147.0
246 75.0 108.96237500000001 147.375
247 75.0 109.35662500000001 148.625
248 76.5 109.73962499999999 148.4375
249 76.5 110.117625 148.75
250 76.5 110.506875 148.5625
251 76.5 110.907625 149.375
252 77.5 111.334375 148.625
253 77.5 111.720125 150.8125
254 77.625 112.123625 151.125
255 78.625 112.539125 152.0625
256 78.6875 112.958875 153.0
257 79.8125 113.342625 153.3125
258 80.0625 113.705375 153.375
259 80.3125 114.107875 154.125
260 80.8125 114.49112500000001 155.625
261 80.8125 114.865125 154.75
262 80.875 115.23975 157.1875
263 81.875 115.631 155.5
264 82.0625 116.01525000000001 157.5625
265 82.0625 116.40625 157.5
266 82.6875 116.80275 159.5625
