Generation F-Min F-Moy F-Max
0 0.0 0.0 0.0
1 2.0625 3.91875 3.9375
2 6.5 7.36625 7.375
3 8.5 10.603750000000002 10.625
4 12.6875 13.6775 13.6875
5 15.0625 17.908749999999998 17.9375
6 19.3125 20.67375 20.6875
7 21.875 24.35 24.375
8 24.9375 26.051250000000003 26.0625
9 26.75 28.35875 28.375
10 29.6875 30.80125 30.8125
11 31.6875 33.1725 33.1875
12 34.875 35.49375 35.5
13 37.75 41.215 41.25
14 42.0625 43.91875 43.9375
15 46.0 47.113749999999996 47.125
16 49.75 50.863749999999996 50.875
17 52.375 54.478750000000005 54.5
18 57.3125 61.272499999999994 61.3125
19 63.5625 63.68625 63.6875
20 65.375 66.73625 66.75
21 68.4375 70.04625000000001 70.0625
22 71.375 72.48875 72.5
23 73.8125 77.15375 77.1875
24 80.25 82.84875 82.875
25 85.5625 85.68625 85.6875
26 88.3125 88.8075 88.8125
27 92.5 93.36625000000001 93.375
28 94.6875 95.925 95.9375
29 97.6875 98.30625 98.3125
30 100.9375 102.9175 102.9375
31 104.5625 108.77 108.8125
32 111.9375 114.66125 114.8125
33 118.625 120.605625 120.6875
34 123.1875 126.405 126.4375
35 129.375 131.85062499999998 131.9375
36 133.5625 136.28500000000003 136.3125
37 138.625 141.595 141.625
38 143.125 144.85750000000002 144.875
39 145.875 148.22625 148.25
40 150.375 152.85 152.875
41 155.1875 156.05375 156.0625
42 158.0625 159.91875 159.9375
43 162.625 163.98624999999998 164.0
44 166.3125 167.055 167.0625
45 167.4375 170.65499999999997 170.6875
46 173.375 175.48000000000002 175.625
47 176.6875 178.049375 178.125
48 179.4375 180.55124999999998 180.5625
49 182.8125 185.04000000000002 185.0625
50 186.4375 189.905 190.1875
51 190.5 192.23312499999997 192.3125
52 193.875 198.32999999999998 198.375
53 199.25 201.10625 201.125
54 201.75 204.225 204.25
55 205.625 207.35750000000002 207.375
56 209.1875 209.80625 209.8125
57 211.875 212.61875 212.75
58 213.4375 216.90250000000003 216.9375
59 218.125 219.61124999999998 219.75
60 221.125 222.61 222.625
61 224.4375 227.03625 227.0625
62 227.4375 231.15 231.1875
63 231.0625 233.971875 234.125
64 235.625 236.49875 237.25
65 235.9375 239.52625 239.5625
66 240.8125 241.9275 242.0625
67 242.625 243.30562500000002 243.3125
68 244.0 247.28 247.375
69 248.875 249.6225 250.125
70 249.6875 251.976875 252.0
71 252.9375 253.246875 253.25
72 254.1875 256.29125 256.3125
73 256.25 258.539375 258.5625
74 258.3125 261.09687499999995 261.125
75 262.125 262.86875 263.0
76 264.6875 265.43 265.4375
77 266.3125 267.17875000000004 267.1875
78 267.625 268.120625 268.1875
79 268.4375 269.43 269.6875
80 269.8125 270.2475 270.4375
81 271.0 271.86625000000004 271.875
82 271.0625 273.78499999999997 273.8125
83 273.9375 275.67 275.6875
84 276.3125 277.179375 277.25
85 278.1875 278.6875 279.1875
86 278.6875 279.986875 280.0
87 280.375 281.86 281.875
88 281.8125 283.2975 283.3125
89 283.875 286.10249999999996 286.125
90 286.125 286.310625 286.3125
91 286.5625 287.119375 287.125
92 287.1875 287.9325 288.1875
93 287.875 288.555625 288.5625
94 289.0625 290.609375 290.625
95 291.25 291.745 291.75
96 291.75 291.9975 292.0
97 293.1875 294.55375000000004 295.0625
98 294.5625 296.356875 296.375
99 296.1875 297.1775 297.1875
100 296.6875 298.1725 298.1875
101 298.75 298.935625 298.9375
102 298.625 300.54312500000003 300.5625
103 300.5625 300.81 300.8125
104 300.625 301.181875 301.1875
105 300.5625 302.41875000000005 302.4375
106 302.375 302.560625 302.5625
107 302.5 303.36625000000004 303.375
108 303.5 303.561875 303.5625
109 303.5 304.49 304.5
110 305.0625 305.0675 305.5625
111 305.0625 306.361875 306.375
112 306.375 306.436875 306.4375
113 306.375 307.365 307.375
114 307.375 308.365 308.375
115 308.375 309.055625 309.0625
116 308.8125 309.864375 309.875
117 309.75 309.9975 310.0
118 309.5 311.046875 311.0625
119 311.0625 311.0625 311.0625
120 311.1875 311.6825 311.6875
121 311.6875 311.81125 311.8125
122 311.8125 311.8125 311.8125
123 311.5625 312.92375000000004 312.9375
124 312.8125 313.18375000000003 313.1875
125 313.1875 313.435 313.4375
126 313.25 314.735625 314.8125
127 314.4375 316.17 316.1875
128 316.1875 316.373125 316.375
129 316.875 316.99875 317.0
130 317.0 318.7325 318.75
131 318.75 318.811875 318.8125
132 318.3125 319.92125 319.9375
133 320.0 320.0 320.0
134 319.875 320.49375 320.5
135 320.0 321.485 321.5
136 321.5 321.561875 321.5625
137 321.5625 321.81 321.8125
138 321.8125 321.874375 321.875
139 321.875 321.875 321.875
140 321.875 321.99875 322.0
141 322.0 322.0 322.0
142 322.25 322.25 322.25
143 322.25 322.25 322.25
144 322.25 322.311875 322.3125
145 322.3125 322.56 322.5625
146 322.5625 322.68625 322.6875
147 322.6875 322.81125 322.8125
148 322.8125 322.8125 322.8125
149 322.8125 323.121875 323.125
150 323.125 323.186875 323.1875
151 323.25 323.37375 323.375
152 323.375 323.6225 323.625
153 323.5625 323.995625 324.0
154 323.9375 324.618125 324.625
155 324.6875 324.81125 324.8125
156 324.8125 324.8125 324.8125
157 324.8125 324.8125 324.8125
158 324.8125 324.8125 324.8125
159 324.8125 324.8125 324.8125
160 324.8125 324.874375 324.875
161 324.875 324.875 324.875
162 324.875 325.37 325.375
163 325.375 325.436875 325.4375
164 325.3125 325.93125 325.9375
165 325.9375 325.9375 325.9375
166 325.875 326.060625 326.0625
167 326.0625 326.0625 326.0625
168 326.0625 326.0625 326.0625
169 326.5625 326.5625 326.5625
170 326.5625 326.68625 326.6875
171 326.625 326.74875 326.75
172 326.75 326.75 326.75
173 326.75 326.75 326.75
174 327.0625 327.0625 327.0625
175 327.0625 327.124375 327.125
176 327.375 327.375 327.375
177 327.375 327.436875 327.4375
178 327.4375 327.4375 327.4375
179 327.4375 327.499375 327.5
180 327.5 327.5 327.5
181 327.5 327.7475 327.75
182 327.75 327.75 327.75
183 327.875 327.875 327.875
184 327.875 327.875 327.875
185 327.875 328.1225 328.125
186 328.125 328.125 328.125
187 328.125 328.125 328.125
188 328.0625 328.248125 328.25
189 328.25 328.745 328.75
190 329.25 329.75 330.25
191 329.75 330.245 330.25
192 330.25 330.25 330.25
193 330.3125 330.3125 330.3125
194 330.3125 330.8075 330.8125
195 330.8125 330.874375 330.875
196 330.875 330.936875 330.9375
197 331.4375 331.4425 331.9375
198 330.9375 331.9275 331.9375
199 331.9375 331.9375 331.9375
200 331.9375 331.9375 331.9375
