Generation M1F M2F M3F M5F
0 0 1 0 0
1 0 2 0 0
2 0 3 0 0
3 0 4 0 0
4 0 4 0 1
5 0 4 0 2
6 1 4 0 2
7 2 4 0 2
8 2 5 0 2
9 2 6 0 2
10 2 6 1 2
11 2 6 2 2
12 2 7 2 2
13 3 7 2 2
14 3 7 3 2
15 4 7 3 2
16 4 7 3 3
17 4 8 3 3
18 5 8 3 3
19 5 8 3 4
20 5 9 3 4
21 5 9 4 4
22 5 9 4 5
23 5 9 4 6
24 5 9 4 7
25 5 9 5 7
26 5 9 5 8
27 5 9 6 8
28 5 9 6 9
29 5 9 6 10
30 5 9 6 11
31 5 10 6 11
32 6 10 6 11
33 6 10 6 12
34 6 10 7 12
35 6 10 8 12
36 6 10 8 13
37 6 10 9 13
38 6 10 10 13
39 6 10 10 14
40 6 10 10 15
41 6 10 11 15
42 6 10 11 16
43 6 10 12 16
44 6 10 12 17
45 6 11 12 17
46 6 11 12 18
47 6 11 13 18
48 6 11 14 18
49 6 11 15 18
50 6 11 15 19
51 6 11 15 20
52 6 12 15 20
53 7 12 15 20
54 7 12 15 21
55 7 13 15 21
56 8 13 15 21
57 8 13 15 22
58 8 14 15 22
59 9 14 15 22
60 9 14 15 23
61 9 14 16 23
62 9 14 16 24
63 9 14 16 25
64 9 15 16 25
65 9 16 16 25
66 9 16 16 26
67 9 17 16 26
68 9 17 17 26
69 9 17 17 27
70 9 18 17 27
71 9 18 17 28
72 9 18 17 29
73 9 18 17 30
74 9 18 17 31
75 9 18 17 32
76 9 18 17 33
77 9 19 17 33
78 9 19 17 34
79 9 19 17 35
80 9 19 17 36
81 9 19 18 36
82 9 19 19 36
83 9 19 19 37
84 9 19 19 38
85 9 19 19 39
86 9 19 19 40
87 9 19 20 40
88 9 19 20 41
89 9 19 20 42
90 10 19 20 42
91 10 19 21 42
92 10 19 21 43
93 10 19 21 44
94 10 19 22 44
95 10 19 22 45
96 10 19 22 46
97 10 20 22 46
98 10 20 22 47
99 11 20 22 47
100 11 20 22 48
101 12 20 22 48
102 12 20 22 49
103 12 20 22 50
104 12 20 22 51
105 12 20 22 52
106 12 20 22 53
107 12 20 22 54
108 12 20 22 55
109 12 20 22 56
110 12 21 22 56
111 12 21 22 57
112 12 22 22 57
113 12 22 22 58
114 12 22 22 59
115 12 22 22 60
116 12 22 22 61
117 12 22 22 62
118 12 22 22 63
119 12 22 22 64
120 12 22 22 65
121 12 22 22 66
122 12 22 22 67
123 12 22 22 68
124 12 22 22 69
125 13 22 22 69
126 13 22 22 70
127 13 22 22 71
128 13 22 22 72
129 13 22 22 73
130 13 22 23 73
131 13 22 23 74
132 13 22 23 75
133 13 22 23 76
134 13 22 23 77
135 13 22 23 78
136 13 22 23 79
137 14 22 23 79
138 15 22 23 79
139 15 22 23 80
140 15 22 23 81
141 15 22 23 82
142 15 22 23 83
143 16 22 23 83
144 17 22 23 83
145 18 22 23 83
146 18 22 24 83
147 18 22 24 84
148 18 22 24 85
149 18 22 24 86
150 18 22 24 87
151 18 22 24 88
152 18 22 24 89
153 18 22 24 90
154 18 22 24 91
155 18 22 24 92
156 18 22 24 93
157 18 22 24 94
158 18 22 24 95
159 18 22 24 96
160 18 22 24 97
161 18 22 24 98
162 18 22 24 99
163 18 22 24 100
164 18 22 25 100
165 18 22 25 101
166 18 22 25 102
167 18 22 25 103
168 18 22 25 104
169 18 22 25 105
170 19 22 25 105
171 19 22 25 106
172 19 22 25 107
173 19 22 25 108
174 19 22 25 109
175 19 22 25 110
176 19 22 25 111
177 19 22 26 111
178 19 22 27 111
179 19 22 27 112
180 19 22 27 113
181 19 22 28 113
182 19 22 28 114
183 19 22 28 115
184 19 22 28 116
185 20 22 28 116
186 20 22 28 117
187 20 22 28 118
188 20 22 28 119
189 20 22 29 119
190 20 22 29 120
191 20 22 30 120
192 20 23 30 120
193 20 23 30 121
194 20 23 30 122
195 20 24 30 122
196 20 24 30 123
197 20 24 30 124
198 20 24 30 125
199 20 24 30 126
200 20 24 30 127
201 20 24 30 128
202 20 24 30 129
203 20 25 30 129
204 21 25 30 129
205 22 25 30 129
206 23 25 30 129
207 24 25 30 129
208 24 25 30 130
209 24 25 30 131
210 24 26 30 131
211 24 27 30 131
212 25 27 30 131
213 25 27 30 132
214 25 27 31 132
215 25 27 31 133
216 25 27 31 134
217 25 27 31 135
218 25 27 31 136
219 25 27 31 137
220 26 27 31 137
221 26 27 31 138
222 26 27 31 139
223 26 27 31 140
224 26 27 31 141
225 26 27 31 142
226 26 27 31 143
227 26 27 31 144
228 26 27 31 145
229 26 27 31 146
230 26 27 31 147
231 26 28 31 147
232 26 28 31 148
233 26 28 31 149
234 26 28 31 150
235 26 28 31 151
236 26 28 31 152
237 26 28 31 153
238 26 28 31 154
239 26 28 31 155
240 26 28 31 156
241 26 28 31 157
242 26 28 31 158
243 26 28 31 159
244 26 28 31 160
245 26 28 31 161
246 26 28 31 162
247 26 28 31 163
248 26 28 31 164
249 26 28 31 165
250 26 28 31 166
251 26 28 31 167
252 26 28 31 168
253 26 28 31 169
254 26 28 31 170
255 26 28 32 170
256 26 28 32 171
257 26 29 32 171
258 26 30 32 171
259 26 30 32 172
260 27 30 32 172
261 27 30 32 173
262 27 30 32 174
263 27 30 32 175
264 27 30 32 176
265 27 30 33 176
266 27 30 33 177
267 27 30 33 178
268 27 30 33 179
269 27 30 33 180
270 27 30 33 181
271 27 30 34 181
272 27 30 34 182
273 27 30 34 183
274 27 30 34 184
275 27 30 34 185
276 28 30 34 185
277 28 30 34 186
278 28 30 34 187
279 28 30 34 188
280 28 30 34 189
281 28 30 34 190
282 28 30 34 191
283 28 30 34 192
284 28 30 34 193
285 28 30 34 194
286 29 30 34 194
287 29 30 34 195
288 29 30 34 196
289 29 30 34 197
290 29 30 34 198
291 29 30 34 199
292 29 30 34 200
293 29 30 34 201
294 29 30 34 202
295 29 30 34 203
296 29 30 34 204
297 29 30 34 205
298 29 30 34 206
299 29 30 35 206
300 30 30 35 206
301 30 30 35 207
302 30 30 35 208
303 30 31 35 208
304 30 31 35 209
305 30 32 35 209
306 30 32 35 210
307 30 32 35 211
308 30 32 35 212
309 30 32 35 213
310 30 32 35 214
311 30 33 35 214
312 30 33 35 215
313 30 33 35 216
314 30 33 35 217
315 30 34 35 217
316 30 35 35 217
317 30 35 35 218
318 30 35 35 219
319 30 35 35 220
320 30 35 35 221
321 30 35 35 222
322 30 35 35 223
323 30 35 35 224
324 30 36 35 224
325 30 36 35 225
326 30 36 35 226
327 30 36 35 227
328 30 36 35 228
329 30 36 35 229
330 30 36 35 230
331 30 36 35 231
332 30 36 35 232
333 30 36 35 233
334 30 36 35 234
335 30 36 35 235
336 30 36 35 236
337 30 36 35 237
338 30 36 35 238
339 30 36 36 238
340 30 36 37 238
341 30 36 37 239
342 31 36 37 239
